Date,Rain,Temp Max
20-12-2001,0,25.69000053
21-12-2001,0,24.63999939
22-12-2001,0,24.04000092
23-12-2001,1.637948036,23.72999954
24-12-2001,0,22.59000015
25-12-2001,2.376259804,24.42000008
26-12-2001,0,25.82999992
27-12-2001,0,27.56999969
28-12-2001,0,27.59000015
29-12-2001,0,27.80999947
30-12-2001,0,27.07999992
31-12-2001,0,26.67000008
1/1/2002,0,25.70000076
2/1/2002,0,26.47999954
3/1/2002,0,25.98999977
4/1/2002,0,26.05999947
5/1/2002,0,26.48999977
6/1/2002,0,26.67000008
7/1/2002,0,27.87000084
8/1/2002,13.8868103,27.96999931
9/1/2002,0,26.80999947
10/1/2002,0,26.36000061
11/1/2002,0,26.40999985
12/1/2002,0,26.52000046
13-01-2002,0,27.35000038
14-01-2002,0,26.95000076
15-01-2002,0,27.43000031
16-01-2002,0,28.15999985
17-01-2002,0,27.84000015
18-01-2002,0,28.31999969
19-01-2002,0,28.27000046
20-01-2002,0,28.60000038
21-01-2002,0,27.93000031
22-01-2002,0,29.20000076
23-01-2002,0,29.85000038
24-01-2002,0,30.62999916
25-01-2002,0,32.06999969
26-01-2002,0,30.78000069
27-01-2002,0,31.28000069
28-01-2002,0,30.64999962
29-01-2002,0,29.23999977
30-01-2002,0,29.06999969
31-01-2002,0,29.10000038
1/2/2002,0,27.78000069
2/2/2002,0,27.19000053
3/2/2002,0,25.02000046
4/2/2002,0,27.38999939
5/2/2002,0,28.20999908
6/2/2002,0,29.03000069
7/2/2002,0,29.70999908
8/2/2002,0,29.79000092
9/2/2002,0,29.17000008
10/2/2002,0,28.40999985
11/2/2002,0,28.96999931
12/2/2002,0,28.94000053
13-02-2002,0,29.14999962
14-02-2002,0,29.78000069
15-02-2002,0,29.70000076
16-02-2002,0,30.82999992
17-02-2002,0,31.02000046
18-02-2002,0,30.54000092
19-02-2002,0,31.06999969
20-02-2002,0,31.86000061
21-02-2002,0,31.55999947
22-02-2002,0,31.71999931
